account,category,sub_cat,description,date,currency,expenses,income
amazon,Recibos,Móvil,Giffgaff,2022-02-27,GBP,10.0,
amex,,,ebay commerce uk ltd    london,2022-02-27,GBP,0.99,
natwest,Bares,,Tomar algo en Cafe Giardino,2022-02-28,GBP,21.55,
natwest,Coche,Gasolina,Gasolina en Morrisons,2022-02-28,GBP,58.01,
ing,Recibos,Móvil,Simyo,2022-02-28,EUR,0.63,
amazon,Ropa y complementos,Óscar,Camisas y trajes Slater,2022-02-28,GBP,123.0,
natwest,Ropa y complementos,,Vinted,2022-02-28,GBP,12.24,
amazon,,,ifly indoor skydiving  hampshire     gbr,2022-02-28,GBP,20.0,
firstdirect,Alojamiento,Hipoteca,Hipoteca Barclays,2022-03-01,GBP,500.0,
natwest,Groceries,ASDA,ASDA,2022-03-01,GBP,3.79,
natwest,Groceries,Morrisons,Morrisons,2022-03-01,GBP,32.87,
firstdirect,Ocio,Actividades Emma,Piscina Emma,2022-03-01,GBP,21.5,
lloyds,Otros ingresos,Intereses,Intereses Lloyds,2022-03-01,GBP,,0.57
natwest,Ocio,Actividades Emma,Rugby S4K,2022-03-02,GBP,34.6,
amex,Transporte,,Billete de tren,2022-03-02,GBP,47.0,
natwest,,,'cote brasserie - basin basingstoke,2022-03-02,GBP,43.71,
natwest,,,'sg ca phe porton down salisbury,2022-03-02,GBP,0.7,
lloyds,Gastos casa,Luz y gas,E.On,2022-03-03,GBP,70.0,
amex,Groceries,ASDA,ASDA,2022-03-04,GBP,14.75,
natwest,Groceries,Lidl,Lidl,2022-03-04,GBP,26.48,
amazon,,,moneysupermarket group ewloe         lnd,2022-03-04,GBP,9.19,
lloyds,Recibos,Seguros,Seguro de vida y enfermedad,2022-03-07,GBP,50.0,
natwest,,,'welcome break hants gbr,2022-03-07,GBP,30.01,
natwest,Groceries,Lidl,Lidl,2022-03-09,GBP,42.88,
natwest,Ropa y complementos,,Vinted,2022-03-09,GBP,7.64,
natwest,Ropa y complementos,,Vinted,2022-03-09,GBP,10.04,
natwest,Ropa y complementos,,Vinted,2022-03-09,GBP,4.79,
amex,Transporte,,Billete de tren,2022-03-09,GBP,47.0,
natwest,,,'sg ca phe porton down salisbury,2022-03-09,GBP,2.5,
natwest,Groceries,Sainsburys,Sainsburys,2022-03-10,GBP,78.01,
natwest,Groceries,Lidl,Lidl,2022-03-11,GBP,22.48,
natwest,Recibos,Móvil,Giffgaff,2022-03-11,GBP,10.0,
amazon,Groceries,Discount shops,Savers,2022-03-12,GBP,14.98,
amazon,Groceries,Proximity shops,Londis,2022-03-12,GBP,6.08,
amex,,,Boots,2022-03-12,GBP,35.57,
ing,,,transferencia bizum recibida,2022-03-13,EUR,,90.0
amex,Groceries,Tesco,Tesco,2022-03-14,GBP,34.4,
amex,Transporte,,Billete de tren,2022-03-16,GBP,47.0,
amex,Transporte,,Vuelo Ryanair,2022-03-16,GBP,472.42,
amex,,,10154b ncp gatwick post london,2022-03-16,GBP,5.0,
amazon,Bares,,The Lime Leaf,2022-03-18,GBP,49.5,
amex,,,ebay commerce uk ltd    london,2022-03-19,GBP,3.69,
amex,Groceries,Morrisons,Morrisons,2022-03-20,GBP,35.49,
amex,Groceries,Tesco,Tesco,2022-03-20,GBP,1.7,
amex,,,sports soccer           basingstoke,2022-03-20,GBP,13.0,
amex,Transporte,España,Parking aeropuerto,2022-03-21,GBP,73.79,
amex,,,ebay commerce uk ltd    london,2022-03-21,GBP,15.4,
amex,,,ebay commerce uk ltd    london,2022-03-22,GBP,1.78,
ing,,,transferencia emitida a ana,2022-03-22,EUR,300.0,
amex,Groceries,Tesco,Tesco,2022-03-23,GBP,9.5,
amex,Recibos,Subscriptiones,Netflix,2022-03-23,GBP,9.99,
amex,Transporte,,Billete de tren,2022-03-23,GBP,47.0,
firstdirect,Nóminas,Pensión Óscar,Contribución empresa,2022-03-25,GBP,,333.3333333333333
firstdirect,Nóminas,Pensión Óscar,Contribución personal,2022-03-25,GBP,,333.3333333333333
firstdirect,Nóminas,Óscar,Nómina de Óscar,2022-03-25,GBP,,2100.0
firstdirect,Recibos,Seguro médico,GHD Bupa Private health care,2022-03-25,GBP,100.0,
amazon,Bares,,The Orchard Community Centre,2022-03-26,GBP,6.1,
amazon,Groceries,Discount shops,Savers,2022-03-26,GBP,6.97,
amazon,Recibos,Móvil,Giffgaff,2022-03-27,GBP,10.0,
ing,Recibos,Móvil,Simyo,2022-03-30,EUR,0.75,
